# FSPS SSP GALEX-FUV (nu*L_nu, 1528 A) vs time (Kroupa IMF, Z=4.49e-05)
# Cluster mass: 1e+06 Msun, instantaneous burst
# age_myr  log10_lfuv_total_erg_s
      0.100000      42.119191
      0.112202      42.047520
      0.125893      42.112193
      0.141254      42.033210
      0.158489      42.053420
      0.177828      42.116065
      0.199526      42.035519
      0.223872      42.051002
      0.251189      42.110516
      0.281838      42.103260
      0.316228      42.050319
      0.354813      42.099639
      0.398107      42.110651
      0.446684      42.111073
      0.501187      42.112579
      0.562341      42.113846
      0.630957      42.135501
      0.707946      42.126261
      0.794328      42.138862
      0.891251      42.131390
      1.000000      42.138253
      1.122018      42.144880
      1.258925      42.160913
      1.412538      42.177167
      1.584893      42.193814
      1.778279      42.214969
      1.995262      42.223022
      2.238721      42.264754
      2.511886      42.277620
      2.818383      42.245759
      3.162278      42.238954
      3.548134      42.210078
      3.981072      42.160252
      4.466836      42.096056
      5.011872      42.087919
      5.623413      42.111789
      6.309573      42.078400
      7.079458      42.136651
      7.943282      42.025488
      8.912509      41.886356
     10.000000      41.851576
     11.220185      41.809862
     12.589254      41.755940
     14.125375      41.655713
     15.848932      41.577301
     17.782794      41.513455
     19.952623      41.453447
     22.387211      41.389899
     25.118864      41.332070
     28.183829      41.285486
     31.622777      41.265651
     35.481339      41.231233
     39.810717      41.172345
     44.668359      41.108042
     50.118723      41.082325
     56.234133      41.026015
     63.095734      40.985297
     70.794578      40.911225
     79.432823      40.866712
     89.125094      40.792241
    100.000000      40.754080
