# FSPS SSP GALEX-FUV (nu*L_nu, 1528 A) vs time (Kroupa IMF, Z=0.008)
# Cluster mass: 1e+06 Msun, instantaneous burst
# age_myr  log10_lfuv_total_erg_s
      0.100000      42.168615
      0.112202      42.172755
      0.125893      42.167215
      0.141254      42.172517
      0.158489      42.177565
      0.177828      42.174357
      0.199526      42.175488
      0.223872      42.112969
      0.251189      42.174390
      0.281838      42.174794
      0.316228      42.121018
      0.354813      42.171582
      0.398107      42.185004
      0.446684      42.169923
      0.501187      42.178561
      0.562341      42.122721
      0.630957      42.181231
      0.707946      42.195999
      0.794328      42.170495
      0.891251      42.206324
      1.000000      42.144974
      1.122018      42.209215
      1.258925      42.222779
      1.412538      42.236471
      1.584893      42.241945
      1.778279      42.266496
      1.995262      42.265380
      2.238721      42.299858
      2.511886      42.296248
      2.818383      42.302754
      3.162278      42.319448
      3.548134      42.357807
      3.981072      42.407897
      4.466836      42.257462
      5.011872      42.172671
      5.623413      42.091366
      6.309573      42.000416
      7.079458      41.919088
      7.943282      41.851034
      8.912509      41.787107
     10.000000      41.713468
     11.220185      41.625747
     12.589254      41.535868
     14.125375      41.457587
     15.848932      41.392090
     17.782794      41.325795
     19.952623      41.274325
     22.387211      41.199668
     25.118864      41.138162
     28.183829      41.087333
     31.622777      41.029677
     35.481339      40.964225
     39.810717      40.906873
     44.668359      40.852108
     50.118723      40.788641
     56.234133      40.720131
     63.095734      40.663485
     70.794578      40.607011
     79.432823      40.543339
     89.125094      40.471618
    100.000000      40.405120
