# FSPS SSP bolometric luminosity vs time (Kroupa IMF, Z=4.49e-05)
# Cluster mass: 1e+06 Msun, instantaneous burst
# age_myr  log10_lbol_total_erg_s
      0.100000      42.583232
      0.112202      42.498414
      0.125893      42.574697
      0.141254      42.480832
      0.158489      42.505080
      0.177828      42.579339
      0.199526      42.483587
      0.223872      42.501948
      0.251189      42.572474
      0.281838      42.564038
      0.316228      42.501352
      0.354813      42.560433
      0.398107      42.573411
      0.446684      42.573656
      0.501187      42.575200
      0.562341      42.576429
      0.630957      42.601534
      0.707946      42.590674
      0.794328      42.605084
      0.891251      42.596116
      1.000000      42.604001
      1.122018      42.611483
      1.258925      42.629919
      1.412538      42.648374
      1.584893      42.667298
      1.778279      42.691272
      1.995262      42.700109
      2.238721      42.746822
      2.511886      42.760775
      2.818383      42.786509
      3.162278      42.832874
      3.548134      42.830497
      3.981072      42.766570
      4.466836      42.702877
      5.011872      42.618205
      5.623413      42.533189
      6.309573      42.499287
      7.079458      42.382852
      7.943282      42.182891
      8.912509      42.045598
     10.000000      41.994178
     11.220185      41.937881
     12.589254      41.870917
     14.125375      41.764162
     15.848932      41.682550
     17.782794      41.615244
     19.952623      41.551977
     22.387211      41.487242
     25.118864      41.429100
     28.183829      41.380973
     31.622777      41.358599
     35.481339      41.327750
     39.810717      41.264755
     44.668359      41.188222
     50.118723      41.145525
     56.234133      41.083440
     63.095734      41.044510
     70.794578      40.971507
     79.432823      40.929034
     89.125094      40.857407
    100.000000      40.822377
