# FSPS SSP bolometric luminosity vs time (Kroupa IMF, Z=0.02)
# Cluster mass: 1e+06 Msun, instantaneous burst
# age_myr  log10_lbol_total_erg_s
      0.100000      42.562547
      0.112202      42.545819
      0.125893      42.554201
      0.141254      42.542554
      0.158489      42.548495
      0.177828      42.555015
      0.199526      42.536889
      0.223872      42.549422
      0.251189      42.562093
      0.281838      42.536192
      0.316228      42.560364
      0.354813      42.556303
      0.398107      42.557809
      0.446684      42.561079
      0.501187      42.544978
      0.562341      42.557437
      0.630957      42.566260
      0.707946      42.556513
      0.794328      42.584671
      0.891251      42.573551
      1.000000      42.579240
      1.122018      42.580094
      1.258925      42.587516
      1.412538      42.587013
      1.584893      42.592638
      1.778279      42.600931
      1.995262      42.608478
      2.238721      42.622824
      2.511886      42.624701
      2.818383      42.621236
      3.162278      42.612615
      3.548134      42.598209
      3.981072      42.538898
      4.466836      42.423484
      5.011872      42.352476
      5.623413      42.261662
      6.309573      42.162129
      7.079458      42.074707
      7.943282      41.988871
      8.912509      41.904670
     10.000000      41.821825
     11.220185      41.745062
     12.589254      41.658439
     14.125375      41.578003
     15.848932      41.508759
     17.782794      41.442764
     19.952623      41.375093
     22.387211      41.319489
     25.118864      41.263773
     28.183829      41.208239
     31.622777      41.150870
     35.481339      41.098048
     39.810717      41.047425
     44.668359      40.989827
     50.118723      40.927193
     56.234133      40.874380
     63.095734      40.820256
     70.794578      40.764797
     79.432823      40.712280
     89.125094      40.658293
    100.000000      40.605865
